Title,Suburb,Bedrooms,Bathrooms,LandArea,FloorArea,PriceDisplay,PropertyType
GK9HO89PMN403CH6R0ZM,Newmarket,2,2,,,Price by negotiation,Apartment
3GALFL4560YHJ59LPM49,City Centre,2,1,,,Price by negotiation,Apartment
5UQ0175A71QY39PN5WGJ,Glen Innes,3,1,781,,"Asking price $1,390,000",House
KMMQAMFSN11IWNZ971C1,Pukekohe,3,2,400,,Price by negotiation,House
JKW75TL80HBSWJY0U3VU,Northcote,1,1,,,"Asking price $509,000",Apartment
D72L597TKCCZGKT22M4Y,City Centre,1,1,,,Price by negotiation,Apartment
Destined for Great Living!,Pukekohe,4,3,2041,,Price by negotiation,House
Character home on a large 1152m2 section!!,Pukekohe,3,2,1152,,"Asking price $859,000",House
RENOVATED NORTH FACING PICTURESQUE SERENITY,Ramarama,4,2,6200,,"Auction on 30 Jun, 9:45?€?am",Dwelling
INNV9A0Z5X2BWFL879HI,Waiuku,4,2,23900,,Price by negotiation,Dwelling
D67Z3HKWSXRFDSAU48BP,Epsom,3,2,,,"Asking price $3,150,000",Apartment
9NP4UW0RCG56TAMKJXS1,Pukekohe,3,2,,,"Asking price $795,000",House
IKC3XQ7VTFMUGI3R26YH,Pukekohe,3,1,,,Deadline sale by 28 May,House
2C0DMD1GDVLN56J4T6LU,City Centre,2,1,,,"Asking price $279,000",Apartment
Picture Perfect Country Villa,Warkworth,5,2,68760,,Price by negotiation,House
"Developers, Seize This Unmatched Opportunity!",Pukekohe,3,2,4094,,Price by negotiation,House
"Big, Bold & Beautiful in The Valley",Pukekohe,4,2,568,,"Auction on 29 Jun, 9:41?€?am",House
MORTGAGEE SALE,Saint Heliers,5,3,889,,"For sale by tender,  26 Jun",House
MORTGAGEE SALE,Henderson,3,2,520,,"For sale by tender,  26 Jun",House
G7PJ4K87F7LYXFQ39QXX,Pukekohe,6,4,602,,Price by negotiation,House
Z7J72E6MFHPZLMSI2ILE,City Centre,2,1,,,"Asking price $279,000",Apartment
Y44T0ZLA8N7GDY65YXL7,Manurewa,2,1,,,"Auction on 11 Jun, 2:00?€?pm",Townhouse
S2MO9LF5962WZMJRJXEQ,Orakei,2,2,,,"Asking price $1,495,000",Apartment
0SWGNZJPQS4Z6EJF3DHG,Meadowbank,2,2,,,"Asking price $890,000",Apartment
Get on the Property Ladder,Pukekohe,3,1,,,Price by negotiation,House
"""Love Life"" at 35 Hauraki Road",Oneroa,2,1,832,,"Asking price $2,455,000",House
Character & Class in DGZ Remuera,Remuera,3,2,549,,"Auction on 28 Jun, 9:40?€?am",House
FZQK35D4TU2ETCUQX4ZN,Waiuku,3,3,2815,,Price by negotiation,House
BE9BFTG95F21ST5FY1SA,City Centre,2,1,,,Price by negotiation,Apartment
GFDL7YU80GRY4068UAMV,City Centre,1,1,,,Price by negotiation,Apartment
6VFFY5MALG8N9RFSNBJW,Waiau Pa,5,3,33500,,Price by negotiation,Dwelling
GY4IG5GTLL9LA925EM8E,Pukekohe,6,3,1556,,"Asking price $1,559,000",House
"Elegant, Exclusive & Well-Priced in DGZ",Remuera,4,3,,,"Asking price $1,590,000",Townhouse
Bargain 2 Bed + Great Layout + Bank Friendly,City Centre,2,1,,,"Asking price $399,000",Apartment
RENOVATED NORTH FACING PICTURESQUE SERENITY,Ramarama,4,2,6200,,"Auction on 27 Jun, 9:41?€?am",Dwelling
MORTGAGEE SALE,Drury,5,2,,,"Auction on 25 Jun, 2:00?€?pm",House
Time to fulfill your dreams,Pokeno,2,3,1000,,"Auction on 30 May, 1:44?€?pm",Unit
VZZS28841C15XOFKQRVR,Tuakau,4,2,586,,Price by negotiation,House
TU6GA9239U1LGZIJXPDA,City Centre,2,1,,,Price by negotiation,Apartment
2J1016A0DQEG065ZOGLT,Remuera,5,4,1599,,"Asking price $12,300,000",House
LQK53LSGJB4ODSGJNQSJ,Waiau Pa,3,2,56100,,Price by negotiation,Dwelling
RH2Q74XOBNUHAXQ0L2NH,Pukekohe,3,1,610,,"Asking price $649,000",House
"$699,000 (Stop paying Rent own your own Home)",Pukekohe,3,1,,,"Asking price $699,000",House
Arney Rd Awaits,Remuera,5,5,1205,,Price by negotiation,House
DESIGNED TO DELIGHT ?€? CRAFTED FOR COMPLETE COMFORT,Waiuku,4,3,16800,,"Asking price $1,575,000",Dwelling
Remastered Retro Classic with Views,Hillcrest,4,2,,,"Auction on 26 Jun, 9:51?€?am",House
