Suburb,Score_avg,avg_price
Northcote,370.4347826086956,606826.0869565217
Pukekohe,787.0654205607476,996682.2336448599
City Centre,429.3583489681051,677115.676635514
Orakei,1119.6666666666667,1658200.0
Meadowbank,660.0,824347.8260869565
Remuera,1062.0263157894738,2172488.3720930233
Ellerslie,845.1,998100.0
Glen Eden,545.4285714285714,761428.5714285715
Epsom,820.7142857142857,2459000.0
Greenlane,1076.7142857142858,1492285.7142857143
Silverdale,769.1428571428571,902000.0
Albany,383.8333333333333,532166.6666666666
Takapuna,990.8,1373520.0
Massey,417.2857142857143,648777.1428571428
Kaiaua,642.1428571428571,803407.1428571428
Awhitu,649.3846153846154,819615.3846153846
Grey Lynn,679.0454545454545,975954.5454545454
Karaka,980.0,1262444.4444444445
Glenbrook,806.0,940000.0
Mount Albert,919.36,1091594.0
Paerata,992.6363636363636,1250545.4545454546
Mangere,534.7142857142857,727571.4285714285
Mount Eden,782.9677419354839,1138580.6451612904
Te Atatu South,590.3478260869565,761391.304347826
Grafton,735.5,881833.3333333334
Newmarket,440.0,617571.4285714285
Eden Terrace,572.9047619047619,875571.4285714285
Waiuku,948.1428571428571,1583142.857142857
Devonport,472.6,720000.0
Avondale,457.84,697712.0
Mount Wellington,601.3333333333334,769444.4444444445
Sunnyvale,500.65,699455.0
Henderson,648.8260869565217,792460.8695652174
Tuakau,641.2222222222222,810666.6666666666
Penrose,577.4545454545455,750000.0
